Album,Song,Lyrics
"Greetings from Asbury Park, N.J.",Blinded by the Light,Madman drummers bummers and Indians in the summer with a teenage diplomat
,,In the dumps with the mumps as the adolescent pumps his way into his hat
,,With a boulder on my shoulder feelin' kinda older I tripped the merry-go-round
,,With this very unpleasing sneezing and wheezing the calliope crashed to the ground
,,Some all-hot half-shot was headin' for the hot spot snappin' his fingers clappin' his hands
,,And some fleshpot mascot was tied into a lover's knot with a whatnot in her hand
,,And now young Scott with a slingshot finally found a tender spot and throws his lover in the sand
,,And some bloodshot forget-me-not whispers daddy's within earshot save the buckshot turn up the band
,,
,,And she was blinded by the light
,,Cut loose like a deuce another runner in the night
,,Blinded by the light
,,"She got down but she never got tight, but she'll make it alright"
,,
,,Some brimstone baritone anti-cyclone rolling stone preacher from the east
,,"He says: ""Dethrone the dictaphone, hit it in its funny bone, that's where they expect it least"""
,,And some new-mown chaperone was standin' in the corner all alone watchin' the young girls dance
,,And some fresh-sown moonstone was messin' with his frozen zone to remind him of the feeling of romance
,,
,,Yeah he was blinded by the light
,,Cut loose like a deuce another runner in the night
,,Blinded by the light
,,"He got down but she never got tight, but he's gonna make it tonight"
,,
,,Some silicone sister with her manager's mister told me I got what it takes
,,"She said I'll turn you on sonny, to something strong if you play that song with the funky break,"
,,And go-cart Mozart was checkin' out the weather chart to see if it was safe to go outside
,,"And little Early-Pearly came in by her curly-wurly and asked me if I needed a ride,"
,,"Oh, some hazard from Harvard was skunked on beer playin' backyard bombardier"
,,"Yes and Scotland Yard was trying hard, they sent a dude with a calling card,"
,,"he said, do what you like, but don't do it here"
,,"Well I jumped up, turnedaround, spit in the air, fell on the ground"
,,Asked him which was the way back home
,,"He said take a right at the light, keep goin' straight until night, and then boy, you're on your own"
,,
,,And now in Zanzibar a shootin' star was ridin' in a side car hummin' a lunar tune
,,"Yes, and the avatar said blow the bar but first remove the cookie jar we're gonna teach those boys to laugh too soon"
,,
,,"And some kidnapped handicap was complainin' that he caught the clap from some mousetrap he bought last night,"
,,
,,Well I unsnapped his skull cap and between his ears I saw
,,a gap but figured he'd be all right
,,
,,He was just blinded by the light
,,Cut loose like a deuce another runner in the night
,,Blinded by the light
,,Mama always told me not to look into the sights of the sun
,,Oh but mama that's where the fun isØ
"Greetings from Asbury Park, N.J.",Growin' Up,I stood stone-like at midnight suspended in my masquerade
,,I combed my hair till it was just right and commanded the night brigade
,,I was open to pain and crossed by the rain and I walked on a crooked crutch
,,I strolled all alone through a fallout zone and came out with my soul untouched
,,"I hid in the clouded wrath of the crowd but when they said ""Sit down"" I stood up."
,,Ooh-ooh growin' up
,,
,,"The flag of piracy flew from my mast, my sails were set wing to wing"
,,"I had a jukebox graduate for first mate, she couldn't sail but she sure could sing,"
,,I pushed B-52 and bombed 'em with the blues with my gear set stubborn on standing
,,"I broke all the rules, strafed my old high school, never once gave thought to landing,"
,,"I hid in the clouded wrath of the crowd but when they said ""Come down"" I threw up"
,,Ooh-ooh growin' up
,,
,,I took month-long vacations in the stratosphere and you know it's really hard to hold your breath.
,,"I swear I lost everything I ever loved or feared, I was the cosmic kid in full costume dress"
,,"Well, my feet they finally took root in the earth but I got me a nice little place in the stars"
,,And I swear I found the key to the universe in the engine of an old parked car
,,"I hid in the mother breast of the crowd but when they said ""Pull down"" I pulled up"
,,Ooh-ooh growin' up. Ooh-ooh growin' upØ
,Mary Queen of Arkansas,"Mary Queen of Arkansas, it's not too early for dreamin'"
,,The sky is grown with cloud seed sown and a bastard's love can be redeeming
,,"Mary, my queen, your soft hulk is reviving"
,,"No, you're not too late to desecrate, the servants are just rising"
,,"Well I'm just a lonely acrobat, the live wire is my trade"
,,I've been a shine boy for your acid brat and a wharf rat of your state
,,"Mary, my queen, your blows for freedom are missing"
,,You're not man enough for me to hate or woman enough for kissing
,,
,,"The big top is for dreamers, we can take the circus all the way to the border"
,,And the gallows wait for martyrs whose papers are in order
,,But I was not born to live to die and you were not born for queenin'
